TimeStamp,test.data8i,test.float_data,test.data,test.address
10215.7,-5,800.598,586,340
10215.9,-5,800.598,586,340
10216.2,-4,799.898,584,350
10216.4,-4,799.898,584,350
10216.7,-4,799.898,584,350
10216.9,-4,799.898,584,350
10217.1,-4,799.898,584,350
10217.4,-4,799.898,584,350
10217.7,-4,799.898,584,350
10217.9,-4,799.898,584,350
10218.1,-3,799.198,582,360
10218.4,-3,799.198,582,360
10218.7,-3,799.198,582,360
10218.9,-3,799.198,582,360
10219.1,-3,799.198,582,360
10219.4,-3,799.198,582,360
10219.7,-3,799.198,582,360
10219.9,-3,799.198,582,360
10220.2,-2,798.498,580,370
10220.5,-2,798.498,580,370
10220.8,-2,798.498,580,370
10221.1,-2,798.498,580,370
10221.3,-2,798.498,580,370
10221.7,-2,798.498,580,370
10221.9,-2,798.498,580,370
10222.2,-1,797.798,578,380
10222.4,-1,797.798,578,380
10222.8,-1,797.798,578,380
10223.1,-1,797.798,578,380
10223.3,-1,797.798,578,380
10223.7,-1,797.798,578,380
10223.9,-1,797.798,578,380
10224.2,0,797.098,576,390
10224.4,0,797.098,576,390
10224.8,0,797.098,576,390
10225.1,0,797.098,576,390
10225.3,0,797.098,576,390
10225.7,0,797.098,576,390
10225.9,0,797.098,576,390
10226.2,1,796.398,574,400
10226.4,1,796.398,574,400
10226.8,1,796.398,574,400
10227.1,1,796.398,574,400
10227.3,1,796.398,574,400
10227.7,1,796.398,574,400
10228,2,795.698,574,400
10228.3,2,795.698,572,410
10228.7,2,795.698,572,410
10228.9,2,795.698,572,410
10229.2,2,795.698,572,410
10229.4,2,795.698,572,410
10229.8,2,795.698,572,410
10230.2,3,794.998,570,420
10230.7,3,794.998,570,420
10231,3,794.998,570,420
10231.2,3,794.998,570,420
10231.5,3,794.998,570,420
10231.8,3,794.998,570,420
10232.2,4,794.298,568,430
10232.8,4,794.298,568,430
10233.1,4,794.298,568,430
10233.4,4,794.298,568,430
10233.8,4,794.298,568,430
10234.1,5,793.598,566,440
10234.4,5,793.598,566,440
10234.8,5,793.598,566,440
10235.1,5,793.598,566,440
10235.3,5,793.598,566,440
10235.7,5,793.598,566,440
10235.9,5,793.598,566,440
10236.2,6,792.898,564,450
10236.4,6,792.898,564,450
10236.8,6,792.898,564,450
10237.1,6,792.898,564,450
10237.3,6,792.898,564,450
10237.7,6,792.898,564,450
10237.9,6,792.898,564,450
10238.3,7,792.198,562,460
10238.7,7,792.198,562,460
10238.9,7,792.198,562,460
10239.2,7,792.198,562,460
10239.4,7,792.198,562,460
10239.8,7,792.198,562,460
10240.1,8,791.498,560,460
10240.3,8,791.498,560,470
10240.8,8,791.498,560,470
10241.1,8,791.498,560,470
10241.4,8,791.498,560,470
10241.7,8,791.498,560,470
10241.9,8,791.498,560,470
10242.2,9,790.798,558,480
10242.4,9,790.798,558,480
10242.8,9,790.798,558,480
10243.1,9,790.798,558,480
10243.4,9,790.798,558,480
10243.7,9,790.798,558,480
10243.9,9,790.798,558,480
10244.2,10,790.098,556,490
10244.4,10,790.098,556,490
10244.8,10,790.098,556,490
10245.1,10,790.098,556,490
10245.5,10,790.098,556,490
10245.8,10,790.098,556,490
10246.1,11,789.398,554,500
10246.4,11,789.398,554,500
10246.8,11,789.398,554,500
10247.1,11,789.398,554,500
10247.4,11,789.398,554,500
10247.8,11,789.398,554,500
10248.1,12,788.698,552,510
10248.5,12,788.698,552,510
10248.8,12,788.698,552,510
10249.2,12,788.698,552,510
10249.4,12,788.698,552,510
10249.8,12,788.698,552,510
10250.1,13,787.998,550,520
10250.3,13,787.998,550,520
10250.7,13,787.998,550,520
10251,13,787.998,550,520
10251.3,13,787.998,550,520
10251.7,13,787.998,550,520
10251.9,13,787.998,550,520
10252.2,14,787.298,548,530
10252.4,14,787.298,548,530
10252.8,14,787.298,548,530
10253.1,14,787.298,548,530
10253.7,14,787.298,548,530
10253.9,14,787.298,548,530
10254.2,15,786.598,546,540
10254.4,15,786.598,546,540
10254.7,15,786.598,546,540
10254.9,15,786.598,546,540
10255.2,15,786.598,546,540
10255.5,15,786.598,546,540
10255.8,15,786.598,546,540
10256.2,16,785.898,544,550
10256.5,16,785.898,544,550
10256.8,16,785.898,544,550
10257.2,16,785.898,544,550
10257.4,16,785.898,544,550
10258.1,16,785.898,544,550
10259,17,785.198,542,560
10259.3,17,785.198,542,560
10259.7,17,785.198,542,560
10259.9,17,785.198,542,560
10260.2,18,784.498,540,570
10260.5,18,784.498,540,570
10260.8,18,784.498,540,570
10261.1,18,784.498,540,570
10261.4,18,784.498,540,570
10261.7,18,784.498,540,570
10262,18,784.498,540,570
10262.3,19,783.798,538,580
10262.7,19,783.798,538,580
10263,19,783.798,538,580
10263.2,19,783.798,538,580
10264.2,19,783.798,538,580
10264.7,20,783.098,536,590
10265,20,783.098,536,590
10265.2,20,783.098,536,590
10265.5,20,783.098,536,590
10265.8,20,783.098,536,590
10266.1,21,782.398,534,600
10266.3,21,782.398,534,600
10266.7,21,782.398,534,600
10266.9,21,782.398,534,600
10267.2,21,782.398,534,600
10267.4,21,782.398,534,600
10267.8,21,782.398,534,600
10268.1,22,781.698,532,610
10268.3,22,781.698,532,610
10268.7,22,781.698,532,610
10268.9,22,781.698,532,610
10269.2,22,781.698,532,610
10269.4,22,781.698,532,610
10269.8,22,781.698,532,610
10270.1,23,780.998,530,620
10270.4,23,780.998,530,620
10270.7,23,780.998,530,620
10270.9,23,780.998,530,620
10271.2,23,780.998,530,620
10271.4,23,780.998,530,620
10271.7,23,780.998,530,620
10271.9,23,780.998,530,620
10272.2,24,780.298,528,630
10272.4,24,780.298,528,630
10272.7,24,780.298,528,630
10272.9,24,780.298,528,630
10273.2,24,780.298,528,630
10273.4,24,780.298,528,630
10273.8,24,780.298,528,630
10274.1,25,779.598,526,640
10274.3,25,779.598,526,640
10274.7,25,779.598,526,640
10274.9,25,779.598,526,640
10275.2,25,779.598,526,640
10275.4,25,779.598,526,640
10275.8,25,779.598,526,640
10276.1,26,778.898,524,650
10276.3,26,778.898,524,650
10276.7,26,778.898,524,650
10276.9,26,778.898,524,650
10277.2,26,778.898,524,650
10277.4,26,778.898,524,650
10277.8,26,778.898,524,650
10278.1,27,778.198,522,660
10278.3,27,778.198,522,660
10278.7,27,778.198,522,660
10278.9,27,778.198,522,660
10279.2,27,778.198,522,660
10279.4,27,778.198,522,660
10279.8,27,778.198,522,660
10280.1,28,777.498,520,670
10280.4,28,777.498,520,670
10280.9,28,777.498,520,670
10281.2,28,777.498,520,670
10281.5,28,777.498,520,670
10281.8,28,777.498,520,670
10282.1,29,776.798,518,680
10282.4,29,776.798,518,680
10282.8,29,776.798,518,680
10283.1,29,776.798,518,680
10283.4,29,776.798,518,680
10283.7,29,776.798,518,680
10284,29,776.798,518,680
10284.2,30,776.098,516,690
10284.5,30,776.098,516,690
10284.8,30,776.098,516,690
10285.1,30,776.098,516,690
10285.3,30,776.098,516,690
10285.7,30,776.098,516,690
10285.9,30,776.098,516,690
10286.2,31,775.398,514,700
10286.4,31,775.398,514,700
10286.8,31,775.398,514,700
10287.1,31,775.398,514,700
10287.5,31,775.398,514,700
10287.8,31,775.398,514,700
10288.1,32,774.698,512,710
10288.3,32,774.698,512,710
10288.7,32,774.698,512,710
10288.9,32,774.698,512,710
10289.2,32,774.698,512,710
10289.4,32,774.698,512,710
10289.8,32,774.698,512,710
10290.1,33,773.998,510,710
10290.3,33,773.998,510,720
10290.7,33,773.998,510,720
10290.9,33,773.998,510,720
10291.2,33,773.998,510,720
10291.5,33,773.998,510,720
10291.8,33,773.998,510,720
10292.1,34,773.298,508,730
10292.4,34,773.298,508,730
10292.7,34,773.298,508,730
10292.9,34,773.298,508,730
10293.2,34,773.298,508,730
10293.4,34,773.298,508,730
10293.9,34,773.298,508,730
10294.2,35,772.598,506,740
10294.5,35,772.598,506,740
